original,optimized,size_kb
chunyou1.png,chunyou1.webp,16.15
chunyou2.png,chunyou2.webp,13.76
fangshaishuang1.png,fangshaishuang1.webp,7.13
fangshaishuang2.png,fangshaishuang2.webp,11.38
fangshaishuang3.png,fangshaishuang3.webp,6.02
fangshaishuang4.png,fangshaishuang4.webp,9.02
fenbing1.png,fenbing1.webp,17.72
fenbing2.png,fenbing2.webp,19.79
fendiye1.png,fendiye1.webp,7.93
huazhuangpin11.jpg,huazhuangpin11.webp,9.02
huazhuangpinshounaanniu.jpg,huazhuangpinshounaanniu.webp,4.13
kouhong1.png,kouhong1.webp,16.07
kouhong2.png,kouhong2.webp,21.55
kouhong3.png,kouhong3.webp,14.46
lingshi1.png,lingshi1.webp,32.7
lingshi10.jpg,lingshi10.webp,29.31
lingshi2.jpg,lingshi2.webp,22.97
lingshi3.png,lingshi3.webp,23.61
lingshi4.png,lingshi4.webp,39.47
lingshi5.png,lingshi5.webp,23.16
lingshi6.png,lingshi6.webp,30.76
lingshi7.png,lingshi7.webp,29.68
lingshi8.jpg,lingshi8.webp,28.18
lingshi9.png,lingshi9.webp,29.85
lingshixiaoxiaoleanniu.jpg,lingshixiaoxiaoleanniu.webp,17.02
meibi1.png,meibi1.webp,15.14
meibi2.png,meibi2.webp,13.28
sanfu-.png,sanfu.webp,5.58
sanfu.png,sanfu.webp,3.28
sanfuqizi.jpg,sanfuqizi.webp,4.47
xiurongpan1.jpg,xiurongpan1.webp,16.79
xiurongpan2.png,xiurongpan2.webp,17.79
xiurongpan3.png,xiurongpan3.webp,13.5
yanxianbi2.png,yanxianbi2.webp,8.73
yanyingpan1.png,yanyingpan1.webp,16.51
yanyingpan2.png,yanyingpan2.webp,11.12
youxibeijing2.png,youxibeijing2.webp,8.8
zhuangqianmianshuang1.png,zhuangqianmianshuang1.webp,10.49
zhuangqianru1.jpg,zhuangqianru1.webp,8.37
